Year,Region,Scenario,BEV_stocks,ICE_stocks
2018,China,Carbon Neutral,4540679.0,156754342.0
2018,China,Reference,4540679.0,156754342.0
2018,Northeast Asia,Carbon Neutral,64296.0,79426819.0
2018,Northeast Asia,Reference,64045.0,79407181.0
2018,Oceania,Carbon Neutral,2078.0,16745825.0
2018,Oceania,Reference,2078.0,16745825.0
2018,Other Americas,Carbon Neutral,13534.0,47030389.0
2018,Other Americas,Reference,14797.0,47027893.0
2018,Russia,Carbon Neutral,2833.0,44784060.00000001
2018,Russia,Reference,2833.0,44784060.00000001
2018,Southeast Asia,Carbon Neutral,34120.0,42022252.0
2018,Southeast Asia,Reference,34120.0,42022252.0
2018,USA,Carbon Neutral,391530.0,116693232.00000001
2018,USA,Reference,391905.0,116692720.99999999
2019,China,Carbon Neutral,11079824.0,150571751.0
2019,China,Reference,11079824.0,150571751.0
2019,Northeast Asia,Carbon Neutral,209979.0,79563086.0
2019,Northeast Asia,Reference,417082.0,79199961.0
2019,Oceania,Carbon Neutral,33237.0,16965369.0
2019,Oceania,Reference,33237.0,16965369.0
2019,Other Americas,Carbon Neutral,73210.0,47379635.0
2019,Other Americas,Reference,77715.0,47373740.0
2019,Russia,Carbon Neutral,8993.0,45870644.0
2019,Russia,Reference,8993.0,45870644.0
2019,Southeast Asia,Carbon Neutral,83643.0,43646457.0
2019,Southeast Asia,Reference,83643.0,43646457.0
2019,USA,Carbon Neutral,684276.0,117420823.0
2019,USA,Reference,688275.0,117415226.0
2020,China,Carbon Neutral,11150000.0,150918991.0
2020,China,Reference,11150000.0,150918991.0
2020,Northeast Asia,Carbon Neutral,349598.0,79359665.0
2020,Northeast Asia,Reference,735722.0,78660541.0
2020,Oceania,Carbon Neutral,61444.0,16907219.0
2020,Oceania,Reference,61444.0,16907219.0
2020,Other Americas,Carbon Neutral,129320.0,47264071.0
2020,Other Americas,Reference,137019.0,47255030.0
2020,Russia,Carbon Neutral,14143.0,45837769.0
2020,Russia,Reference,14143.0,45837769.0
2020,Southeast Asia,Carbon Neutral,116590.0,43607526.0
2020,Southeast Asia,Reference,116590.0,43607526.0
2020,USA,Carbon Neutral,936428.0,117086230.0
2020,USA,Reference,946407.0,117072087.0
2021,China,Carbon Neutral,11365211.0,151035353.0
2021,China,Reference,11365211.0,151035353.0
2021,Northeast Asia,Carbon Neutral,492977.0,79117862.0
2021,Northeast Asia,Reference,1032715.0,78122532.0
2021,Oceania,Carbon Neutral,89785.0,16837677.0
2021,Oceania,Reference,89785.0,16837677.0
2021,Other Americas,Carbon Neutral,186274.0,47127468.0
2021,Other Americas,Reference,197433.0,47114390.0
2021,Russia,Carbon Neutral,20076.0,45790664.0
2021,Russia,Reference,20076.0,45790664.0
2021,Southeast Asia,Carbon Neutral,150559.0,43557862.0
2021,Southeast Asia,Reference,150559.0,43557862.0
2021,USA,Carbon Neutral,1183377.0,116751163.0
2021,USA,Reference,1202478.0,116723820.0
2022,China,Carbon Neutral,12546857.0,157967368.0
2022,China,Reference,12546857.0,157967368.0
2022,Northeast Asia,Carbon Neutral,657531.0,79212673.0
2022,Northeast Asia,Reference,1324702.0,77952785.0
2022,Oceania,Carbon Neutral,121116.0,16952561.0
2022,Oceania,Reference,121034.0,16951855.0
2022,Other Americas,Carbon Neutral,256532.0,47932142.00000001
2022,Other Americas,Reference,272469.0,47909674.0
2022,Russia,Carbon Neutral,32336.999999999996,47706491.0
2022,Russia,Reference,32096.0,47701064.0
2022,Southeast Asia,Carbon Neutral,222811.0,46065924.0
2022,Southeast Asia,Reference,219836.0,46065133.0
2022,USA,Carbon Neutral,1470468.0,117458627.0
2022,USA,Reference,1499050.0,117415907.0
2023,China,Carbon Neutral,14317384.0,164516421.0
2023,China,Reference,13982744.0,164820238.00000003
2023,Northeast Asia,Carbon Neutral,884904.0,79260524.0
2023,Northeast Asia,Reference,1609618.0,77804706.0
2023,Oceania,Carbon Neutral,156673.0,17059257.0
2023,Oceania,Reference,154000.0,17055758.0
2023,Other Americas,Carbon Neutral,339440.0,48658895.0
2023,Other Americas,Reference,353666.0,48628170.0
2023,Russia,Carbon Neutral,48207.0,48819079.0
2023,Russia,Reference,43910.0,48805910.00000001
2023,Southeast Asia,Carbon Neutral,321800.0,48384243.0
2023,Southeast Asia,Reference,294091.0,48404352.99999999
2023,USA,Carbon Neutral,1825855.0,118039912.0
2023,USA,Reference,1822144.0,118017823.0
2024,China,Carbon Neutral,17475129.0,169718257.0
2024,China,Reference,15626872.0,171400066.0
2024,Northeast Asia,Carbon Neutral,1288688.0,79122537.0
2024,Northeast Asia,Reference,1908022.0,77700779.99999999
2024,Oceania,Carbon Neutral,222205.0,17145129.0
2024,Oceania,Reference,193208.00000000003,17170760.0
2024,Other Americas,Carbon Neutral,504296.0,49300341.0
2024,Other Americas,Reference,457573.0,49328072.0
2024,Russia,Carbon Neutral,89893.0,49816695.0
2024,Russia,Reference,57868.0,49831869.0
2024,Southeast Asia,Carbon Neutral,511473.0,50576554.0
2024,Southeast Asia,Reference,382920.0,50680954.0
2024,USA,Carbon Neutral,2474461.0,118218717.0
2024,USA,Reference,2223375.0,118440125.0
2025,China,Carbon Neutral,22680201.0,172863023.0
2025,China,Reference,17519323.0,177578286.0
2025,Northeast Asia,Carbon Neutral,2071497.0,78596057.0
2025,Northeast Asia,Reference,2243167.0,77589910.0
2025,Oceania,Carbon Neutral,347328.0,17159986.0
2025,Oceania,Reference,242678.0,17280846.0
2025,Other Americas,Carbon Neutral,829869.0,49571306.0
2025,Other Americas,Reference,600715.0,49990306.0
2025,Russia,Carbon Neutral,208627.0,50599698.0
2025,Russia,Reference,74126.0,50715344.0
2025,Southeast Asia,Carbon Neutral,838292.0,52193464.0
2025,Southeast Asia,Reference,491627.0,52819565.0
2025,USA,Carbon Neutral,3607137.0,117261457.0
2025,USA,Reference,2756492.0,118695821.0
2026,China,Carbon Neutral,28415697.0,171006884.0
2026,China,Reference,19232979.0,180932030.00000003
2026,Northeast Asia,Carbon Neutral,3451914.0,77290279.0
2026,Northeast Asia,Reference,2633816.0,77463286.0
2026,Oceania,Carbon Neutral,566120.0,16966283.0
2026,Oceania,Reference,305744.0,17395179.0
2026,Other Americas,Carbon Neutral,1463858.0,49421306.0
2026,Other Americas,Reference,798258.0,50597224.0
2026,Russia,Carbon Neutral,532922.0,51095580.0
2026,Russia,Reference,93412.0,51507958.0
2026,Southeast Asia,Carbon Neutral,1476198.0,53498343.0
2026,Southeast Asia,Reference,634978.0,54896304.0
2026,USA,Carbon Neutral,5700996.0,115289520.0
2026,USA,Reference,3463286.0,118748775.0
2027,China,Carbon Neutral,36026220.0,166823950.0
2027,China,Reference,20945201.0,182717149.99999997
2027,Northeast Asia,Carbon Neutral,5644497.0,75115075.0
2027,Northeast Asia,Reference,3083404.0,77305794.0
2027,Oceania,Carbon Neutral,925719.0,16641116.0
2027,Oceania,Reference,382976.0,17504151.0
2027,Other Americas,Carbon Neutral,2577192.0,48798084.0
2027,Other Americas,Reference,1058237.0,51160709.0
2027,Russia,Carbon Neutral,1220079.0,50966781.0
2027,Russia,Reference,115086.0,52027895.0
2027,Southeast Asia,Carbon Neutral,2544745.0,54340382.0
2027,Southeast Asia,Reference,818899.0,56919741.0
2027,USA,Carbon Neutral,9015021.0,112046131.0
2027,USA,Reference,4356087.0,118605679.0
2028,China,Carbon Neutral,44925211.0,160829481.00000003
2028,China,Reference,22825541.0,183831647.0
2028,Northeast Asia,Carbon Neutral,8547007.0,72135382.0
2028,Northeast Asia,Reference,3579408.0,77116012.0
2028,Oceania,Carbon Neutral,1422501.0,16184412.0
2028,Oceania,Reference,471873.0,17609986.0
2028,Other Americas,Carbon Neutral,4173760.0,47627367.0
2028,Other Americas,Reference,1371553.0,51638352.0
2028,Russia,Carbon Neutral,2439700.0,50250298.0
2028,Russia,Reference,141103.0,52484852.0
2028,Southeast Asia,Carbon Neutral,4049486.0,54648277.0
2028,Southeast Asia,Reference,1038804.0,58835253.0
2028,USA,Carbon Neutral,13401666.0,107666381.0
2028,USA,Reference,5402280.0,118296191.99999999
2029,China,Carbon Neutral,54398245.0,153700837.0
2029,China,Reference,24873263.0,184284078.0
2029,Northeast Asia,Carbon Neutral,11860200.0,68653983.0
2029,Northeast Asia,Reference,4099195.0,76916191.0
2029,Oceania,Carbon Neutral,2012173.0,15633534.0
2029,Oceania,Reference,567630.0,17717251.0
2029,Other Americas,Carbon Neutral,6103123.0,46042129.0
2029,Other Americas,Reference,1718825.0,52046903.0
2029,Russia,Carbon Neutral,4206726.0,49126765.00000001
2029,Russia,Reference,174487.0,53088234.0
2029,Southeast Asia,Carbon Neutral,6005556.0,54653095.0
2029,Southeast Asia,Reference,1304375.0,60897272.0
2029,USA,Carbon Neutral,18451768.0,102567601.00000001
2029,USA,Reference,6538645.0,117885752.0
2030,China,Carbon Neutral,63914282.0,145984444.0
2030,China,Reference,27085206.0,184084115.0
2030,Northeast Asia,Carbon Neutral,15293353.0,64988186.0
2030,Northeast Asia,Reference,4617727.0,76725513.0
2030,Oceania,Carbon Neutral,2643526.0,15036503.0
2030,Oceania,Reference,665164.0,17831575.0
2030,Other Americas,Carbon Neutral,8274928.0,44326278.0
2030,Other Americas,Reference,2091160.0,52593019.0
2030,Russia,Carbon Neutral,6125476.0,47568466.0
2030,Russia,Reference,212079.0,53426227.00000001
2030,Southeast Asia,Carbon Neutral,8078750.0,54326047.0
2030,Southeast Asia,Reference,1575607.0,62791973.0
2030,USA,Carbon Neutral,23789134.0,97145156.0
2030,USA,Reference,7698366.0,117446560.99999999
2031,China,Carbon Neutral,73191237.0,138004593.0
2031,China,Reference,29454670.0,183241146.0
2031,Northeast Asia,Carbon Neutral,18675484.0,61349206.0
2031,Northeast Asia,Reference,5113520.0,76542692.0
2031,Oceania,Carbon Neutral,3267798.0,14404424.0
2031,Oceania,Reference,755746.0,17832642.0
2031,Other Americas,Carbon Neutral,10497463.0,42541522.0
2031,Other Americas,Reference,2461059.0,53166506.0
2031,Russia,Carbon Neutral,8111599.0,45878359.0
2031,Russia,Reference,257350.00000000003,53708639.99999999
2031,Southeast Asia,Carbon Neutral,10230338.0,53921368.0
2031,Southeast Asia,Reference,1855144.0,64713628.99999999
2031,USA,Carbon Neutral,29193246.0,91638072.0
2031,USA,Reference,8832513.0,117034281.0
2032,China,Carbon Neutral,82120638.0,129901569.0
2032,China,Reference,31967028.0,181755455.99999997
2032,Northeast Asia,Carbon Neutral,21937479.0,57831899.00000001
2032,Northeast Asia,Reference,5579564.0,76386813.0
2032,Oceania,Carbon Neutral,3898775.0,13807203.0
2032,Oceania,Reference,846971.0,17972712.0
2032,Other Americas,Carbon Neutral,12611793.0,40673779.0
2032,Other Americas,Reference,2804914.0,53605841.0
2032,Russia,Carbon Neutral,10184387.0,44256450.0
2032,Russia,Reference,315632.0,54141627.00000001
