Year,Scenario,BEV_stocks,ICE_stocks
2018,Carbon Neutral,5049070.0,503456919.0
2018,Reference,5050457.0,503434274.0
2019,Carbon Neutral,12173162.0,501417765.0
2019,Reference,12388769.0,501043148.0
2020,Carbon Neutral,12757523.0,500981471.0
2020,Reference,13161325.0,500259163.0
2021,Carbon Neutral,13488259.0,500218049.0
2021,Reference,14058257.0,499182298.0
2022,Carbon Neutral,15307652.0,513295786.0
2022,Reference,16016044.0,511963786.0
2023,Carbon Neutral,17894263.0,524738331.0
2023,Reference,18260173.0,523536958.0
2024,Carbon Neutral,22566145.0,533898230.0
2024,Reference,20849838.0,534552626.0
2025,Carbon Neutral,30582951.0,538244991.0
2025,Reference,23928128.0,544670078.0
2026,Carbon Neutral,41607705.0,534568195.0
2026,Reference,27162473.0,551540756.0
2027,Carbon Neutral,57953473.0,524731519.0
2027,Reference,30759890.0,556241119.0
2028,Carbon Neutral,78959331.0,509341598.0
2028,Reference,34830562.0,559812294.0
2029,Carbon Neutral,103037791.0,490377944.0
2029,Reference,39276420.0,562835681.0
2030,Carbon Neutral,128119449.0,469375080.0
2030,Reference,43945309.0,564898983.0
2031,Carbon Neutral,153167165.0,447737544.0
2031,Reference,48730002.0,566239536.0
2032,Carbon Neutral,177777138.0,426160626.0
2032,Reference,53567613.0,567306582.0
2033,Carbon Neutral,201664470.0,404601508.0
2033,Reference,58415067.0,567526265.0
2034,Carbon Neutral,225492123.0,383181786.0
2034,Reference,63268048.0,567405129.0
2035,Carbon Neutral,249424130.0,361702862.0
2035,Reference,68182856.0,566993390.0
2036,Carbon Neutral,273650870.0,339839055.0
2036,Reference,73207812.0,566112831.0
2037,Carbon Neutral,296290343.0,319359854.0
2037,Reference,78660075.0,564639632.0
2038,Carbon Neutral,317612001.0,300230098.0
2038,Reference,84920978.0,562397119.0
2039,Carbon Neutral,337738633.0,282249444.0
2039,Reference,92038661.0,559191582.0
2040,Carbon Neutral,356743855.0,265287819.0
2040,Reference,100062075.0,555042125.0
2041,Carbon Neutral,374749975.0,249244311.0
2041,Reference,109054283.0,549850748.0
2042,Carbon Neutral,391885459.0,233976612.0
2042,Reference,119077223.0,543525979.0
2043,Carbon Neutral,408380384.0,219449895.0
2043,Reference,130209719.0,536178875.0
2044,Carbon Neutral,424276234.0,205572874.0
2044,Reference,142503368.0,527703616.0
2045,Carbon Neutral,439221781.0,192170224.0
2045,Reference,155830335.0,517684290.0
2046,Carbon Neutral,454056471.0,179326767.0
2046,Reference,170511313.0,506752843.0
2047,Carbon Neutral,468512901.0,166919122.0
2047,Reference,186431864.0,494627069.0
2048,Carbon Neutral,482599181.0,154886216.0
2048,Reference,203547815.0,481286881.0
2049,Carbon Neutral,496355805.0,143187612.0
2049,Reference,221788103.0,466763013.0
2050,Carbon Neutral,510009918.0,131792873.0
2050,Reference,241230903.0,451255302.0
