,Scenario,Year,Battery_cost,Sales,Total_cost,BEV_stocks,ICE_stocks,Total cost in that year (Millions USD),Cost per average EV battery (USD),Sales in that year (Millions),BEV_stocks (Millions),ICE_stocks (Millions)
0,Carbon Neutral,2018,7759.643919316843,7124092.0,55280417168.453766,5049069.999999999,503456919.0,55280.0,7760.0,7.12,5.0,503.0
1,Carbon Neutral,2019,7759.643919316843,7124092.0,55280417168.453766,12173162.0,501417765.00000006,55280.0,7760.0,7.12,12.0,501.0
2,Carbon Neutral,2020,7759.643919316843,584360.9999999998,4534433280.335908,12757522.999999998,500981471.0,4534.0,7760.0,0.58,13.0,501.0
3,Carbon Neutral,2021,7432.295994817013,730735.9999999991,5431046246.068598,13488259.0,500218049.0,5431.0,7432.0,0.73,13.0,500.0
4,Carbon Neutral,2022,7105.842463553521,1819392.9999999984,12928320037.292019,15307652.0,513295786.0,12928.0,7106.0,1.82,15.0,513.0
5,Carbon Neutral,2023,6779.388932290029,2586611.0000000005,17535641985.539646,17894263.000000004,524738331.0,17536.0,6779.0,2.59,18.0,525.0
6,Carbon Neutral,2024,6452.935401026537,4671881.999999998,30147352747.218647,22566145.0,533898230.0,30147.0,6453.0,4.67,23.0,534.0
7,Carbon Neutral,2025,6125.587476526707,8016806.000000001,49107646435.34416,30582951.0,538244991.0,49108.0,6126.0,8.02,31.0,538.0
8,Carbon Neutral,2026,5799.133945263215,11024754.0,63934025159.576416,41607705.0,534568195.0,63934.0,5799.0,11.02,42.0,535.0
9,Carbon Neutral,2027,5472.680413999724,16345768.000000002,89455164385.38345,57953473.0,524731519.0,89455.0,5473.0,16.35,58.0,525.0
10,Carbon Neutral,2028,5146.226882736231,21005857.999999996,108100911134.53989,78959331.0,509341598.00000006,108101.0,5146.0,21.01,79.0,509.0
11,Carbon Neutral,2029,4818.878958236401,24078460.000000004,116031184240.7369,103037791.0,490377944.0,116031.0,4819.0,24.08,103.0,490.0
12,Carbon Neutral,2030,4492.425426972909,25081657.999999996,112677478149.83847,128119449.0,469375080.0,112677.0,4492.0,25.08,128.0,469.0
13,Carbon Neutral,2031,4451.613149433363,25047716.0,111502741908.87244,153167165.0,447737544.0,111503.0,4452.0,25.05,153.0,448.0
14,Carbon Neutral,2032,4410.800871893817,24609973.0,108549690365.68327,177777138.0,426160626.0,108550.0,4411.0,24.61,178.0,426.0
