Year,Economy,Region,Scenario,Value,Sales,Unit
2018,01_AUS,Oceania,Carbon Neutral,0.000426,0.020361,Million
2018,12_NZ,Oceania,Reference,0.001652,0.010797999999999999,Million
2018,13_PNG,Oceania,Carbon Neutral,0.0,0.0,Million
2018,13_PNG,Oceania,Reference,0.0,0.0,Million
2018,14_PE,Other Americas,Carbon Neutral,0.000849,0.002519,Million
2018,14_PE,Other Americas,Reference,0.000849,0.002519,Million
2018,15_RP,Southeast Asia,Carbon Neutral,0.000196,0.00099,Million
2018,15_RP,Southeast Asia,Reference,0.000196,0.00099,Million
2018,16_RUS,Russia,Carbon Neutral,0.002833,0.006159999999999999,Million
2018,12_NZ,Oceania,Carbon Neutral,0.001652,0.010797999999999999,Million
2018,17_SIN,Southeast Asia,Carbon Neutral,0.000134,0.003133,Million
2018,18_CT,Northeast Asia,Carbon Neutral,0.00094,0.011216,Million
2018,18_CT,Northeast Asia,Reference,0.00094,0.011216,Million
2018,19_THA,Southeast Asia,Carbon Neutral,0.027127,0.028315,Million
2018,19_THA,Southeast Asia,Reference,0.027127,0.028315,Million
2018,20_USA,USA,Carbon Neutral,0.39153,0.292746,Million
2018,20_USA,USA,Reference,0.391905,0.29636999999999997,Million
2018,21_VN,Southeast Asia,Carbon Neutral,0.00061,0.0013380000000000002,Million
2018,21_VN,Southeast Asia,Reference,0.00061,0.0013380000000000002,Million
2018,17_SIN,Southeast Asia,Reference,0.000134,0.003133,Million
2018,11_MEX,Other Americas,Reference,0.007602,0.022972,Million
2018,16_RUS,Russia,Reference,0.002833,0.006159999999999999,Million
2018,10_MAS,Southeast Asia,Reference,0.00046,0.001634,Million
2018,11_MEX,Other Americas,Carbon Neutral,0.007602,0.022972,Million
2018,01_AUS,Oceania,Reference,0.000426,0.020361,Million
2018,02_BD,Southeast Asia,Carbon Neutral,8e-05,0.000101,Million
2018,02_BD,Southeast Asia,Reference,8e-05,0.000101,Million
2018,03_CDA,Other Americas,Carbon Neutral,0.004908,0.033891,Million
2018,03_CDA,Other Americas,Reference,0.004908,0.033891,Million
2018,04_CHL,Other Americas,Reference,0.001438,0.003536,Million
2018,05_PRC,China,Carbon Neutral,4.540679,6.539145,Million
2018,05_PRC,China,Reference,4.540679,6.539145,Million
2018,04_CHL,Other Americas,Carbon Neutral,0.000175,0.000294,Million
2018,09_ROK,Northeast Asia,Reference,0.008393,0.044942,Million
2018,06_HKC,Northeast Asia,Reference,0.004439,0.0006119999999999997,Million
2018,07_INA,Southeast Asia,Carbon Neutral,0.005513,0.014012,Million
2018,07_INA,Southeast Asia,Reference,0.005513,0.014012,Million
2018,08_JPN,Northeast Asia,Carbon Neutral,0.050273,0.085545,Million
2018,08_JPN,Northeast Asia,Reference,0.050273,0.296267,Million
2018,09_ROK,Northeast Asia,Carbon Neutral,0.008943,0.048911,Million
2018,06_HKC,Northeast Asia,Carbon Neutral,0.00414,1.1000000000000593e-05,Million
2018,10_MAS,Southeast Asia,Carbon Neutral,0.00046,0.001634,Million
2019,15_RP,Southeast Asia,Reference,0.001186,0.00099,Million
2019,15_RP,Southeast Asia,Carbon Neutral,0.001186,0.00099,Million
2019,14_PE,Other Americas,Reference,0.003368,0.002519,Million
2019,12_NZ,Oceania,Reference,0.01245,0.010797999999999999,Million
2019,13_PNG,Oceania,Reference,0.0,0.0,Million
2019,13_PNG,Oceania,Carbon Neutral,0.0,0.0,Million
2019,16_RUS,Russia,Carbon Neutral,0.008993,0.006159999999999999,Million
2019,14_PE,Other Americas,Carbon Neutral,0.003368,0.002519,Million
2019,16_RUS,Russia,Reference,0.008993,0.006159999999999999,Million
2019,21_VN,Southeast Asia,Reference,0.001948,0.0013380000000000002,Million
2019,17_SIN,Southeast Asia,Reference,0.003267,0.003133,Million
2019,18_CT,Northeast Asia,Carbon Neutral,0.012156,0.011216,Million
2019,18_CT,Northeast Asia,Reference,0.012156,0.011216,Million
2019,19_THA,Southeast Asia,Carbon Neutral,0.055442,0.028315,Million
2019,19_THA,Southeast Asia,Reference,0.055442,0.028315,Million
2019,20_USA,USA,Carbon Neutral,0.684276,0.292746,Million
2019,20_USA,USA,Reference,0.688275,0.29636999999999997,Million
2019,21_VN,Southeast Asia,Carbon Neutral,0.001948,0.0013380000000000002,Million
2019,12_NZ,Oceania,Carbon Neutral,0.01245,0.010797999999999999,Million
2019,17_SIN,Southeast Asia,Carbon Neutral,0.003267,0.003133,Million
2019,11_MEX,Other Americas,Reference,0.030574,0.022972,Million
2019,06_HKC,Northeast Asia,Carbon Neutral,0.004151,1.1000000000000593e-05,Million
2019,10_MAS,Southeast Asia,Reference,0.002094,0.001634,Million
2019,11_MEX,Other Americas,Carbon Neutral,0.030574,0.022972,Million
2019,01_AUS,Oceania,Carbon Neutral,0.020787,0.020361,Million
2019,01_AUS,Oceania,Reference,0.020787,0.020361,Million
2019,02_BD,Southeast Asia,Carbon Neutral,0.000181,0.000101,Million
2019,02_BD,Southeast Asia,Reference,0.000181,0.000101,Million
2019,03_CDA,Other Americas,Carbon Neutral,0.038799,0.033891,Million
2019,04_CHL,Other Americas,Carbon Neutral,0.000469,0.000294,Million
2019,04_CHL,Other Americas,Reference,0.004974,0.003536,Million
2019,05_PRC,China,Carbon Neutral,11.079824,6.539145,Million
2019,03_CDA,Other Americas,Reference,0.038799,0.033891,Million
2019,09_ROK,Northeast Asia,Reference,0.053335,0.044942,Million
2019,06_HKC,Northeast Asia,Reference,0.005051,0.0006119999999999997,Million
2019,07_INA,Southeast Asia,Carbon Neutral,0.019525,0.014012,Million
2019,07_INA,Southeast Asia,Reference,0.019525,0.014012,Million
2019,08_JPN,Northeast Asia,Carbon Neutral,0.135818,0.085545,Million
2019,08_JPN,Northeast Asia,Reference,0.34654,0.296267,Million
2019,09_ROK,Northeast Asia,Carbon Neutral,0.057854,0.048911,Million
2019,05_PRC,China,Reference,11.079824,6.539145,Million
2019,10_MAS,Southeast Asia,Carbon Neutral,0.002094,0.001634,Million
2020,15_RP,Southeast Asia,Reference,0.002048,0.0008619999999999999,Million
2020,15_RP,Southeast Asia,Carbon Neutral,0.002048,0.0008619999999999999,Million
