Scenario,Battery_cost_Region,Battery_cost_Measure,Year,Battery_cost,Sales,Total_cost
Carbon Neutral,China,Max,2018,5946.805951935694,7124092.0,42365592707.73746
Carbon Neutral,China,Max,2019,5946.805951935694,7124092.0,42365592707.737465
Carbon Neutral,China,Max,2020,5946.805951935694,584360.9999999998,3475081472.8790927
Carbon Neutral,China,Max,2021,5696.945892423759,730735.9999999991,4162963453.646163
Carbon Neutral,China,Max,2022,5447.768510670054,1819392.9999999984,9911631893.933512
Carbon Neutral,China,Max,2023,5198.591128916349,2586611.0000000005,13446732998.557447
Carbon Neutral,China,Max,2024,4949.413747162643,4671881.999999998,23123076995.92169
Carbon Neutral,China,Max,2025,4699.5536876507085,8016806.000000001,37675410200.48032
Carbon Neutral,China,Max,2026,4450.376305897003,11024754.0,49064303979.9432
Carbon Neutral,China,Max,2027,4201.198924143297,16345768.000000002,68671822935.895935
Carbon Neutral,China,Max,2028,3952.021542389592,21005857.999999993,83015603332.37674
Carbon Neutral,China,Max,2029,3702.161482877657,24078460.000000004,89142347179.01038
Carbon Neutral,China,Max,2030,3452.9841011239514,25081657.999999993,86606566303.82834
Carbon Neutral,China,Max,2031,3433.813986333317,25047716.0,86009197526.5048
Carbon Neutral,China,Max,2032,3414.643871542683,24609972.999999996,84034293483.28088
Carbon Neutral,China,Max,2033,3395.421235889609,23887332.0,81107554341.5454
Carbon Neutral,China,Max,2034,3376.251121098974,23827653.000000004,80448140154.40735
Carbon Neutral,China,Max,2035,3357.0810063083404,23932007.000000004,80341686142.53825
Carbon Neutral,China,Max,2036,3337.9108915177067,24226740.0,80866699311.96768
Carbon Neutral,China,Max,2037,3318.688255864632,22639472.999999996,75133353164.06442
Carbon Neutral,China,Max,2038,3299.518141073998,21321657.999999996,70351197368.77551
Carbon Neutral,China,Max,2039,3280.348026283364,20126632.0,66022357556.931595
Carbon Neutral,China,Max,2040,3261.17791149273,19005222.000000004,61979410189.415695
Carbon Neutral,China,Max,2041,3241.9552758396558,18006120.0,58375035731.40195
Carbon Neutral,China,Max,2042,3222.7851610490216,17135483.99999998,55223983562.59287
Carbon Neutral,China,Max,2043,3203.615046258388,16494925.000000017,52843389916.90369
Carbon Neutral,China,Max,2044,3184.444931467753,15895850.0,50619458963.87169
Carbon Neutral,China,Max,2045,3165.222295814679,14945546.999999976,47305978587.54611
Carbon Neutral,China,Max,2046,3146.052181024045,14834690.000000019,46670708829.31565
Carbon Neutral,China,Max,2047,3126.8820662334106,14456430.0,45203551708.75866
Carbon Neutral,China,Max,2048,3107.7119514427764,14086280.000000002,43776100707.369354
Carbon Neutral,China,Max,2049,3088.4893157897022,13756624.000000002,42487186245.3362
Carbon Neutral,China,Max,2050,3069.319200999068,13654112.999999983,41908831203.51093
Carbon Neutral,China,Min,2018,4987.643701623485,7124092.0,35532432593.58626
Carbon Neutral,China,Min,2019,4987.643701623485,7124092.0,35532432593.58626
Carbon Neutral,China,Min,2020,4987.643701623485,584360.9999999998,2914584461.1244
Carbon Neutral,China,Min,2021,4776.2236512672325,730735.9999999991,3490158566.032408
Carbon Neutral,China,Min,2022,4565.381251321789,1819392.9999999984,8306222690.986096
Carbon Neutral,China,Min,2023,4354.538851376346,2586611.0000000005,11263498092.897425
Carbon Neutral,China,Min,2024,4143.696451430904,4671881.999999998,19358860864.903904
Carbon Neutral,China,Min,2025,3932.276401074651,8016806.000000001,31524297045.79367
Carbon Neutral,China,Min,2026,3721.434001129208,11024754.0,41027894389.68524
Carbon Neutral,China,Min,2027,3510.591601183765,16345768.000000002,57383315855.69836
Carbon Neutral,China,Min,2028,3299.749201238322,21005857.999999993,69314063156.82559
Carbon Neutral,China,Min,2029,3088.3291508820694,24078460.000000004,74362209926.34789
Carbon Neutral,China,Min,2030,2877.4867509366263,25081657.999999993,72172138586.52362
Carbon Neutral,China,Min,2031,2839.146521355358,25047716.0,71114135749.29694
Carbon Neutral,China,Min,2032,2800.80629177409,24609972.999999996,68927767218.79047
Carbon Neutral,China,Min,2033,2762.361020467941,23887332.0,65985434799.776505
Carbon Neutral,China,Min,2034,2724.020790886673,23827653.000000004,64907022170.03322
Carbon Neutral,China,Min,2035,2685.6805613054044,23932007.000000004,64273725992.92487
Carbon Neutral,China,Min,2036,2647.3403317241364,24226740.0,64136425908.1944
Carbon Neutral,China,Min,2037,2608.895060417988,22639472.999999996,59064009280.1664
Carbon Neutral,China,Min,2038,2570.5548308367192,21321657.999999996,54808490973.348366
Carbon Neutral,China,Min,2039,2532.2146012554517,20126632.0,50964951424.49522
Carbon Neutral,China,Min,2040,2493.874371674183,19005222.000000004,47396636073.778366
Carbon Neutral,China,Min,2041,2455.429100368034,18006120.0,44212751032.71887
Carbon Neutral,China,Min,2042,2417.088870786766,17135483.99999998,41417987671.94466
Carbon Neutral,China,Min,2043,2378.7486412054977,16494925.000000017,39237280430.53664
Carbon Neutral,China,Min,2044,2340.4084116242293,15895850.0,37202781049.91701
Carbon Neutral,China,Min,2045,2301.963140318081,14945546.999999976,34404098305.89142
Carbon Neutral,China,Min,2046,2263.6229107368126,14834690.000000019,33580144157.67833
Carbon Neutral,China,Min,2047,2225.282681155544,14456430.0,32169643310.33744
Carbon Neutral,China,Min,2048,2186.942451574276,14086280.000000002,30805883716.7617
Carbon Neutral,China,Min,2049,2148.4971802681275,13756624.000000002,29556067874.008854
Carbon Neutral,China,Min,2050,2110.156950686859,13654112.999999983,28812321452.413765
Carbon Neutral,USA,Max,2018,13159.89631048555,7124092.0,93752312026.35962
Carbon Neutral,USA,Max,2019,13159.89631048555,7124092.0,93752312026.35962
Carbon Neutral,USA,Max,2020,13159.89631048555,584360.9999999998,7690130167.891644
Carbon Neutral,USA,Max,2021,12606.972185857185,730735.9999999991,9212368427.204525
Carbon Neutral,USA,Max,2022,12055.558782880806,1819392.9999999984,21933799260.661835
Carbon Neutral,USA,Max,2023,11504.145379904428,2586611.0000000005,29756748985.25998
Carbon Neutral,USA,Max,2024,10952.73197692805,4671881.999999998,51169871373.83455
Carbon Neutral,USA,Max,2025,10399.807852299682,8016806.000000001,83373241989.16321
Carbon Neutral,USA,Max,2026,9848.394449323305,11024754.0,108576126098.7549
Carbon Neutral,USA,Max,2027,9296.981046346926,16345768.000000002,151966295283.98413
Carbon Neutral,USA,Max,2028,8745.567643370548,21005857.999999993,183708152046.03632
Carbon Neutral,USA,Max,2029,8192.643518742181,24078460.000000004,197266239260.2929
Carbon Neutral,USA,Max,2030,7641.230115765803,25081657.999999993,191654720462.93823
Carbon Neutral,USA,Max,2031,7598.807893661392,25047716.0,190332782058.98874
Carbon Neutral,USA,Max,2032,7556.385671556981,24609972.999999996,185962447354.60416
Carbon Neutral,USA,Max,2033,7513.84722418653,23887332.0,179485763241.4221
Carbon Neutral,USA,Max,2034,7471.425002082118,23827653.000000004,178026522365.13702
Carbon Neutral,USA,Max,2035,7429.002779977707,23932007.000000004,177790946533.44598
Carbon Neutral,USA,Max,2036,7386.580557873296,24226740.0,178952766664.6513
Carbon Neutral,USA,Max,2037,7344.042110502845,22639472.999999996,166265243071.59216
Carbon Neutral,USA,Max,2038,7301.619888398434,21321657.999999996,155682642106.42953
Carbon Neutral,USA,Max,2039,7259.197666294023,20126632.0,146103200044.7586
Carbon Neutral,USA,Max,2040,7216.775444189611,19005222.000000004,137156419440.97221
Carbon Neutral,USA,Max,2041,7174.236996819161,18006120.0,129180172273.16544
Carbon Neutral,USA,Max,2042,7131.81477471475,17135483.99999998,122207097963.08807
Carbon Neutral,USA,Max,2043,7089.3925526103385,16494925.000000017,116938998450.86621
Carbon Neutral,USA,Max,2044,7046.970330505927,15895850.0,112017583328.17265
Carbon Neutral,USA,Max,2045,7004.431883135477,14945546.999999976,104685065917.69962
Carbon Neutral,USA,Max,2046,6962.009661031066,14834690.000000019,103279255098.40108
Carbon Neutral,USA,Max,2047,6919.587438926654,14456430.0,100032531439.72244
Carbon Neutral,USA,Max,2048,6877.165216822243,14086280.000000002,96873674850.41882
Carbon Neutral,USA,Max,2049,6834.626769451792,13756624.000000002,94021390647.683
Carbon Neutral,USA,Max,2050,6792.204547347381,13654112.999999983,92741528408.59488
Carbon Neutral,USA,Min,2018,11037.332389439493,7124092.0,78630971376.94678
Carbon Neutral,USA,Min,2019,11037.332389439493,7124092.0,78630971376.94678
Carbon Neutral,USA,Min,2020,11037.332389439493,584360.9999999998,6449786592.425249
Carbon Neutral,USA,Min,2021,10569.47351475395,730735.9999999991,7723494798.277233
Carbon Neutral,USA,Min,2022,10102.892943004708,1819392.9999999984,18381132700.252148
Carbon Neutral,USA,Min,2023,9636.312371255466,2586611.0000000005,24925391578.925476
Carbon Neutral,USA,Min,2024,9169.731799506222,4671881.999999998,42839904938.94071
Carbon Neutral,USA,Min,2025,8701.87292482068,8016806.000000001,69761227074.93997
Carbon Neutral,USA,Min,2026,8235.29235307144,11024754.0,90792072310.69377
Carbon Neutral,USA,Min,2027,7768.711781322196,16345768.000000002,126985560436.35936
Carbon Neutral,USA,Min,2028,7302.131209572954,21005857.999999993,153387531285.65765
Carbon Neutral,USA,Min,2029,6834.272334887412,24078460.000000004,164558753044.6932
Carbon Neutral,USA,Min,2030,6367.691763138169,25081657.999999993,159712267052.44855
Carbon Neutral,USA,Min,2031,6282.847318929347,25047716.0,157370975315.9037
Carbon Neutral,USA,Min,2032,6198.002874720524,24609972.999999996,152532683400.79446
Carbon Neutral,USA,Min,2033,6112.925979979623,23887332.0,146021492375.19858
Carbon Neutral,USA,Min,2034,6028.081535770801,23827653.000000004,143635035090.05374
Carbon Neutral,USA,Min,2035,5943.237091561978,23932007.000000004,142233591677.9209
Carbon Neutral,USA,Min,2036,5858.392647353156,24226740.0,141929755485.33658
Carbon Neutral,USA,Min,2037,5773.315752612254,22639472.999999996,130704826101.73979
Carbon Neutral,USA,Min,2038,5688.471308403431,21321657.999999996,121287639780.59045
Carbon Neutral,USA,Min,2039,5603.626864194609,20126632.0,112782135760.95886
Carbon Neutral,USA,Min,2040,5518.782419985786,19005222.000000004,104885685061.52713
Carbon Neutral,USA,Min,2041,5433.7055252448845,18006120.0,97839953732.22243
Carbon Neutral,USA,Min,2042,5348.861081036062,17135483.99999998,91655323472.31606
Carbon Neutral,USA,Min,2043,5264.016636827239,16494925.000000017,86829559623.21764
Carbon Neutral,USA,Min,2044,5179.172192618417,15895850.0,82327344298.03348
Carbon Neutral,USA,Min,2045,5094.095297877516,14945546.999999976,76134040696.90729
Carbon Neutral,USA,Min,2046,5009.250853668693,14834690.000000019,74310683546.41052
Carbon Neutral,USA,Min,2047,4924.406409459871,14456430.0,71189336549.90796
Carbon Neutral,USA,Min,2048,4839.561965251049,14086280.000000002,68171424919.87655
Carbon Neutral,USA,Min,2049,4754.485070510147,13756624.000000002,65405663428.62159
Carbon Neutral,USA,Min,2050,4669.640626301324,13654112.999999983,63759800780.908966
Carbon Neutral,World,Max,2018,8440.314438555162,7124092.0,60129576569.19532
Carbon Neutral,World,Max,2019,8440.314438555162,7124092.0,60129576569.19532
Carbon Neutral,World,Max,2020,8440.314438555162,584360.9999999998,4932190585.628531
Carbon Neutral,World,Max,2021,8085.687520347013,730735.9999999991,5908502955.868287
Carbon Neutral,World,Max,2022,7732.029528144896,1819392.9999999984,14067600399.300114
Carbon Neutral,World,Max,2023,7378.371535942781,2586611.0000000005,19084976976.956493
Carbon Neutral,World,Max,2024,7024.713543740664,4671881.999999998,32818632760.158207
Carbon Neutral,World,Max,2025,6670.0866255325145,8016806.000000001,53472790480.08882
Carbon Neutral,World,Max,2026,6316.428633330399,11024754.0,69637071841.02385
Carbon Neutral,World,Max,2027,5962.7706411282825,16345768.000000002,97466065537.09418
Carbon Neutral,World,Max,2028,5609.112648926166,21005857.999999993,117824223809.34686
Carbon Neutral,World,Max,2029,5254.485730718017,24078460.000000004,126519924487.66458
Carbon Neutral,World,Max,2030,4900.827738515901,25081657.999999993,122920885254.36923
Carbon Neutral,World,Max,2031,4873.619553489537,25047716.0,122073038467.85272
Carbon Neutral,World,Max,2032,4846.411368463173,24609972.999999996,119270052924.77173
Carbon Neutral,World,Max,2033,4819.128640464134,23887332.0,115116125785.4754
Carbon Neutral,World,Max,2034,4791.920455437769,23827653.000000004,114180217815.77316
Carbon Neutral,World,Max,2035,4764.712270411405,23932007.000000004,114029127408.47166
Carbon Neutral,World,Max,2036,4737.504085385041,24226740.0,114774279725.5612
Carbon Neutral,World,Max,2037,4710.221357386003,22639472.999999996,106636929244.56374
Carbon Neutral,World,Max,2038,4683.013172359639,21321657.999999996,99849605270.54726
Carbon Neutral,World,Max,2039,4655.804987333275,20126632.0,93705673643.82149
Carbon Neutral,World,Max,2040,4628.596802306911,19005222.000000004,87967509776.33298
Carbon Neutral,World,Max,2041,4601.314074307871,18006120.0,82851813379.67645
Carbon Neutral,World,Max,2042,4574.105889281507,17135483.99999998,78379518280.08896
Carbon Neutral,World,Max,2043,4546.897704255143,16494925.000000017,75000736614.36084
Carbon Neutral,World,Max,2044,4519.689519228779,15895850.0,71844306644.23279
Carbon Neutral,World,Max,2045,4492.4067912297405,14945546.999999976,67141476841.44317
Carbon Neutral,World,Max,2046,4465.198606203377,14834690.000000019,66239837111.45926
Carbon Neutral,World,Max,2047,4437.990421177012,14456430.0,64157497864.415985
Carbon Neutral,World,Max,2048,4410.782236150648,14086280.000000002,62131513597.44415
Carbon Neutral,World,Max,2049,4383.499508151609,13756624.000000002,60302154537.82663
Carbon Neutral,World,Max,2050,4356.291323125245,13654112.999999983,59481293986.87154
Carbon Neutral,World,Min,2018,7078.973400078524,7124092.0,50431257767.712204
Carbon Neutral,World,Min,2019,7078.973400078524,7124092.0,50431257767.712204
Carbon Neutral,World,Min,2020,7078.973400078524,584360.9999999998,4136675975.043285
Carbon Neutral,World,Min,2021,6778.904469287013,730735.9999999991,4953589536.2689085
Carbon Neutral,World,Min,2022,6479.655398962145,1819392.9999999984,11789039675.283924
Carbon Neutral,World,Min,2023,6180.4063286372775,2586611.0000000005,15986306994.122799
Carbon Neutral,World,Min,2024,5881.15725831241,4671881.999999998,27476072734.279087
Carbon Neutral,World,Min,2025,5581.088327520899,8016806.000000001,44742502390.59951
Carbon Neutral,World,Min,2026,5281.839257196031,11024754.0,58230978478.128975
Carbon Neutral,World,Min,2027,4982.590186871164,16345768.000000002,81444263233.67271
Carbon Neutral,World,Min,2028,4683.341116546297,21005857.999999993,98377598459.73293
Carbon Neutral,World,Min,2029,4383.272185754785,24078460.000000004,105542443993.80919
Carbon Neutral,World,Min,2030,4084.023115429917,25081657.999999993,102434071045.30768
Carbon Neutral,World,Min,2031,4029.606745377189,25047716.0,100932445349.89214
Carbon Neutral,World,Min,2032,3975.190375324461,24609972.999999996,97829327806.59483
Carbon Neutral,World,Min,2033,3920.624919326383,23887332.0,93653269095.42252
Carbon Neutral,World,Min,2034,3866.208549273655,23827653.000000004,92122675737.72607
Carbon Neutral,World,Min,2035,3811.792179220927,23932007.000000004,91223837115.66049
Carbon Neutral,World,Min,2036,3757.375809168199,24226740.0,91028966811.00757
Carbon Neutral,World,Min,2037,3702.810353170121,22639472.999999996,83829675014.7154
Carbon Neutral,World,Min,2038,3648.393983117393,21321657.999999996,77789808757.2868
Carbon Neutral,World,Min,2039,3593.9776130646646,20126632.0,72334664834.3909
Carbon Neutral,World,Min,2040,3539.5612430119368,19005222.000000004,67270147206.03782
Carbon Neutral,World,Min,2041,3484.9957870138587,18006120.0,62751252340.46599
Carbon Neutral,World,Min,2042,3430.5794169611304,17135483.99999998,58784638710.06672
Carbon Neutral,World,Min,2043,3376.1630469084025,16494925.000000017,55689556246.525635
Carbon Neutral,World,Min,2044,3321.746676855674,15895850.0,52801986913.296265
Carbon Neutral,World,Min,2045,3267.1812208575966,14945546.999999976,48829810493.84451
Carbon Neutral,World,Min,2046,3212.7648508048683,14834690.000000019,47660370604.58653
Carbon Neutral,World,Min,2047,3158.3484807521404,14456430.0,45658443727.59966
